Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Janet Nguyen,Female,Asian,Active,2014,2016,Senate District 34,,,,,,,,,,,,,,,
John Chiang,Male,Asian,Inactive,1996,2005,BOE District 4,,,,,,,,,,,,,,,
Michelle Steel,Female,Asian,Inactive,2006,2013,BOE District 3,,,,,,,,,,,,,,,
Mike Eng,Male,Asian,Active,2006,2011,Assembly District 49,2013,2016,LACCD 2,,,,,,,,,,,,
Ted Lieu,Male,Asian,Active,2005,2009,Assembly District 53,2010,2013,Senate District 28,2014,2016,US District 33,,,,,,,,,
Matthew K. Fong,Male,Asian,Deceased,1990,1993,BOE District 4,,,,,,,,,,,,,,,
Tina Park,Female,Asian,Inactive,2010,2012,LACCD 2,,,,,,,,,,,,,,,
Julia Wu,Female,Asian,,1987,1998,LACCD 3,,,,,,,,,,,,,,,
Carol Liu,Female,Asian,t/o,2000,2005,Assembly District 44,2008,2011,Senate District 21,2012,2016,Senate District 25,,,,,,,,,
Judy Chu,Female,Asian,Active,2001,2005,Assembly District 49,2006,2008,BOE District 4,2009,2011,US District 32,2012,2016,US District 27,,,,,,
George Nakano,Male,Asian,,1998,2003,Assembly District 53,,,,,,,,,,,,,,,
Tony Trias,Male,Asian,,1980,1982,LAUSD D 3,,,,,,,,,,,,,,,
Ed Chau,Male,Asian,Active,2012,2016,Assembly District 49,,,,,,,,,,,,,,,
Paul Bannai,Male,Asian,Inactive,1973,1973,Assembly District 67,1974,1979,Assembly District 53,,,,,,,,,,,,
George Kiriyama,Male,Asian,,1995,1998,LAUSD D 7,,,,,,,,,,,,,,,
Michael Woo,Male,Asian,Inactive,1985,1992,LA District 13,,,,,,,,,,,,,,,
Al Muratsuchi,Male,Asian,ELECTION,2012,2013,Assembly District 66,,,,,,,,,,,,,,,
Alfred Song,Male,Asian,Deceased,1962,1965,Assembly District 45,1966,1973,Senate District 28,1974,1977,Senate District 26,,,,,,,,,
Warren Furutani,Male,Asian,ELECTION,1987,1994,LAUSD D 7,1999,2007,LACCD 7,2008,2011,Assembly District 55,,,,,,,,,
Ling-Ling Chang,Female,Asian,Active,2014,2016,Assembly District 55,,,,,,,,,,,,,,,
David E. Ryu,Male,Asian,Active,2015,2016,LA District 04,,,,,,,,,,,,,,,
Mike Fong,Male,Asian,Active,2015,2016,LACCD 7,,,,,,,,,,,,,,,
Steven Bradford,Male,Black,Active,2010,2011,Assembly District 51,2012,2013,Assembly District 62,,,,,,,,,,,,
Gilbert Lindsay,Male,Black,Deceased,1963,1989,LA District 09,,,,,,,,,,,,,,,
Genethia Hudley Hayes,Female,Black,Inactive,1999,2002,LAUSD D 1,,,,,,,,,,,,,,,
Mervyn Dymally,Male,Black,Deceased,1962,1966,Assembly District 53,1966,1974,Senate District 29,1980,1991,US District 31,2002,2007,Assembly District 52,,,,,,
Teresa Hughes,Female,Black,Deceased,1976,1991,Assembly District 47,1992,1999,Senate District 25,,,,,,,,,,,,
Mike Gipson,Male,Black,Active,2014,2016,Assembly District 64,,,,,,,,,,,,,,,
James Jones,Male,Black,Deceased,1965,1968,LAUSD AL 2,,,,,,,,,,,,,,,
Rita Walters,Female,Black,Inactive,1979,1990,LAUSD D 1,1990,2000,LA District 09,,,,,,,,,,,,
Nate Holden,Male,Black,Inactive,1974,1977,Senate District 30,1987,2002,LA District 10,,,,,,,,,,,,
Sebastian Ridley-Thomas,Male,Black,Active,2013,2016,Assembly District 54,,,,,,,,,,,,,,,
Robert C. Farrell,Male,Black,Inactive,1974,1990,LA District 08,,,,,,,,,,,,,,,
Mark Ridley-Thomas,Male,Black,ELECTION,1991,2002,LA District 08,2002,2005,Assembly District 48,2006,2008,Senate District 26,2008,2016,County District 2,,,,,,
Leon Ralph,Male,Black,Deceased,1966,1973,Assembly District 55,1974,1975,Assembly District 48,,,,,,,,,,,,
Althea Baker,Female,Black,,1989,2000,LACCD 6,,,,,,,,,,,,,,,
Isadore Hall III,Male,Black,ELECTION,2008,2011,Assembly District 52,2012,2013,Assembly District 64,2014,2016,Senate District 35,,,,,,,,,
David Cunningham,Male,Black,,1973,1986,LA District 10,,,,,,,,,,,,,,,
Willard H. Murray, Jr.,Male,Black,Inactive,1988,1991,Assembly District 54,1992,1995,Assembly District 52,,,,,,,,,,,,
Autumn Burke,Female,Black,Active,2014,2016,Assembly District 62,,,,,,,,,,,,,,,
Bill Greene,Male,Black,Deceased,1967,1973,Assembly District 53,1974,1975,Assembly District 47,1975,1983,Senate District 29,1984,1991,Senate District 27,,,,,,
Holly Mitchell,Female,Black,Active,2010,2011,Assembly District 47,2012,2012,Assembly District 54,2013,2013,Senate District 26,2014,2016,Senate District 30,,,,,,
